review_id,facility_id,title,timestamp,rating,reviewtxt
28,19,Not a Good Experience,2024-04-19 20:40:54.338238,2,Most of the stuff they make is very bland and dosen't taste good. The cakes feel a bit stale and their baked items are also not very good. Not a good experience.
29,20,Goli Vada Pav - Defo Not No. 1 ,2024-04-19 20:43:32.038947,2,"The Vada Pav stall isnt even open for most of the time, and even when it is open, it doesn't taste anything like a Vada Pav. Also a thing to mention, it's worth 40Rs, who the hell would pay for that, well me, but yeah just stick to eating the burgers for 40Rs rather than this, awful really! "
30,20,Average Experience,2024-04-19 21:18:15.689434,3,"The dishes served here are average at best, nothing special about this place, even the pricing done here is a bit absurd."
31,21,Oven Xpress - Best in Town,2024-04-19 21:24:31.152903,5,It serves the best Italian and Chinese Food in the area. The quality of the food is just awesome. The sevice is quick and it has an extremely well furnished interior. The ambience is very well maintained and its very soothing for peaceful time with friends or on a date.
32,21,Oven Xpress - The King of Versatility,2024-04-19 21:26:50.585609,4,"Variety of fast food is available. The taste is good, moderate prices. Mojito, shakes are also available. Must try!"
33,22,American Pizza - The Pizza Palace,2024-04-19 21:28:50.791577,4,One thing that American Pizza never compromises is QUALITY. Absolutely fast service! Must try Corn Rice Bowl with nuggets 😋
34,22,American Pizza - Not just Pizza,2024-04-19 21:30:24.903782,4,"Good quality and various types of Momos available here. I loved them, they were absolutely delish!"
35,23,Street Feast - A Feast Indeed,2024-04-19 21:31:37.60446,4,"This place has some serious yummy options like crunchy kurkure Momo's, burgers are really good and even Wok's. This is behind block 36. Would tell everyone to visit."
36,23,Best Indian - International Fusion Heaven,2024-04-19 21:33:32.664718,5,Amazing food. Had the best momos here! You have to try the kurkure momos. Best indian-international  fusion food ever!!!
37,24,Very Good Service and Quick Delivery,2024-04-19 21:35:20.173155,4,Amazing food. Had the best momos here! You have to try the kurkure momos. Best indian-international  fusion food ever!!!
38,24,"Food- Good, Service - Terrible",2024-04-19 21:36:17.479463,1,"Quality of the food, when it is freshly prepared, is good but if you keep the food for sometime like 1 Hr., it will smell very bad.
I think the oils and the spices they are using are of cheap quality, but they are charging the customers more than the standard charges. Also, the behaviour of the owner of the shop is very rude. He never talks in polite way to the customers.
For regular food, I will never suggest pizza express but within a month, you can give it a try."
39,7,Lovely Sweets - Delectable Delights,2024-04-19 21:38:18.29067,5,Sweets and savouries are famous here..... Their assorted cookie pack is really delicious.... My favorite sweet here is karachi halwa..... One more sweet I like here is gulab halwa..... Mostly all the items are delicious here..... Crowded and should wait for 5-10 mins... Available at an affordable price
40,7,"Great Variety, Terrible Service",2024-04-19 21:40:27.768323,3,"Recently I had bought mysore pak barfi sweets from Lovely sweets located inside Unimall. Sweets are really good BUT I HAD BOUGHT 6 PIECES. AFTER OPENING THE BOX THERE WERE ONLY 4 PIECES. MY FAULT WAS I BELIEVED THEM, SO I DIDN'T CHECK THE BOX AT THE SHOP. THIS IS VERY UNEXPECTED."
41,8,WH Smith - The Get it All Spot,2024-04-19 21:42:21.035735,5,"WH Smith is popular in LPU as it has all accessories which are required for students. It has all payment modes like Card, Paytm, Cash. I can say best place and attractive place located inside Unimall."
42,8,Pointless Store,2024-04-19 21:42:55.800279,2,All useless products available... But nothing required available.
43,9,Wannabuy - The Get It all Spot,2024-04-19 21:44:51.255155,4,A good place for stationary and all essentials that students need/require!
44,9,Horrible Experience,2024-04-19 21:46:06.50041,2,"The store is fine, it has everything you would need from day-to-day, but the customer service is terrible, the cashier was very ill-mannered and doesn't know how to speak politely!"
45,10,All Sports Essentials,2024-04-19 21:47:24.006821,3,"All Sports Enthusiasts can get whatever equipment they need here, but the cost of some items are very high!"
46,11,One of the few Fashion Stores on Campus,2024-04-19 21:49:11.208117,3,"This is one of the only Fashion stores on campus and is average, it has a variety of stuff, useless and usefull but almost everything is too expensive!"
47,12,One of the Best Beauty Parlours in Campus,2024-04-19 21:50:57.805152,4,"The barbers are very friendly and have a good sense of fashion, the pricing is also very affordable about 100Rs per haircut and they are very careful as well!"
48,25,"Very Good, But Very Expensive",2024-04-19 21:51:52.532111,4,"Very good but too expensive.. There are dedicated sections for cross fit training, cardio and strength training. The trainers are good and polite. It gets very crowded during morning and evening times. It contains good selection of machines for isolation workouts. The gym is air conditioned. The male restroom contains sauna and steam bath sections. The cardio comprises of treadmills, hiking machines and cycling. It also has a shop to purchase pre and post workout drinks which is never used."
49,25,Best Gym in Campus,2024-04-19 21:52:54.13685,5,"One of the best gyms I have ever been to. The equipments are world class and trainers are quite helpful. Staff are friendly and listen to you when you have any complaints/queries.  They also have spa facility in which they offer Steam Bath and Sauna Bath. Totally perfect for all types of training, bodybuilding, and wellness. This place gives positive vibes and you feel motivated when you are here."
50,26,Cheap but Ver Crowded,2024-04-19 21:55:21.50514,3,"The machines and equipment they have is very good, even the trainers are good and pay attention to the people, but the only two problems being the crowd and the fact that you can only go to the gym during a particular time slot given to you"
51,27,The Best Gym in the UNI,2024-04-19 21:57:34.634787,5,"Probably the best Gym in the University, most of the equipment they have is new and there are plenty of trainers and they are very friendly, even the pricing is good and according to me it is the Best Gym in the Campus!"
